But what is it like ?;Mais comment est-ce ?;;3;2;0;0
Don't be lazy.;Ne soyez pas aussi paresseux;;2;1;0;0
I guess I do;Je suppose que oui;;1;0;0;0
I mean;Franchement;Je veux vous dire.;3;2;0;0
I need to get into shape.;j'ai besoin de retrouver la ligne.;;4;3;0;0
I'm a little out of shape.;Je ne suis pas trop en forme.;;3;2;0;0
In year's time;Dans un an;;2;1;0;0
No, that's incorrect. In fact,;Non, pas du tout. En réalité, ...;;4;3;0;0
No. Actually, I'm going to.;Non. En fait, je vais m'en charger.;;5;4;0;0
One step at time;pas à pas;étape par étape;2;1;0;0
Purchasing expenses;Frais d'achat;;1;1;0;0
So that;Pour que;;1;1;0;0
So, what you're saying is, ...;Donc, vous nous dites que ...;;1;1;0;0
Statement;Déclaration;;0;0;0;0
That's right;C'est exact;;1;1;0;0
The trend of;La tendance de;;0;0;0;0
These days, more and more;De nos jours, de plus en plus;;0;0;0;0
Yes, that's correct;Oui, c'est bien cela;;0;0;0;0
You'll have a great time;Vous allez adorer;;0;0;0;0
You're such a couch potato;Une vrai limace !;;1;1;0;0
a kind of;une sorte de;;0;0;0;0
about;près de;environ;0;0;0;0
accountant;comptable;;0;0;0;0
although;malgré;;0;0;0;0
among;parmi;;1;1;0;0
annoying;agaçant;enervant;0;0;0;0
anxiety;anxiété;;0;0;0;0
anxious;anxieux;;0;0;0;0
approximately;approximativement;;0;0;0;0
are plummeting;sont en chute libre, plonge;;0;0;0;0
around;autour de;environ;0;0;0;0
assess;évaluer;;1;0;0;0
beat;rythme;;0;0;0;0
behavior;comportement;;1;0;0;0
bring up;élever;;0;0;0;0
buyout;rachat;;0;0;0;0
can be cause by;peut être provoqué par;;0;0;0;0
cat;chat;;4;1;4;0
catchy;accrocheur;;0;0;0;0
catering college;école hotelière;;1;1;0;0
challenging;difficile;;0;0;0;0
change the way we live;changer notre mode de vie;;0;0;0;0
child;enfant;;6;1;5;1
children;enfants;;8;2;3;0
come true;devenir réalité;;0;0;0;0
computer;ordinateur;;4;1;4;0
crazy;fou;;1;1;0;0
critical;essentiel, critique;;0;0;0;0
cross-cutting;transversal;;0;0;0;0
demanding;exigeant;;0;0;0;0
depressed;déprimé;;0;0;0;0
depression;franchement;;0;0;0;0
diet;alimentation;régime;0;0;0;0
do aerobics;faire de l'aérobic;;0;0;0;0
do an exercise routine;suivre une routine sportive;;1;1;0;0
do cardiovascular activity;pratiquer une activité cardiovasculaire;;0;0;0;0
do everything possible;faire tout son possible;;0;0;0;0
do exercise;faire de l'exercice physique;;0;0;0;0
do weightlifting;faire d'haltérophilie;;0;0;0;0
do yoga;faire du yoga;;0;0;0;0
dog;chien;;16;4;3;0
drop out;retirer;;0;0;0;0
edgy;envervé;;0;0;0;0
embedded question;question implicite;;0;0;0;0
endeavor;effort;;0;0;0;0
engaging;enrichisant;;0;0;0;0
enjoyable;agréable;;0;0;0;0
enough;assez;;1;0;0;0
environmental;environnement;;0;0;0;0
even though;bien que;;0;0;0;0
exhaution;épuisement;;0;0;0;0
father;père;;5;1;6;2
foolish;idiot;stupide;0;0;0;0
get fit;se remettre en forme;;0;0;0;0
get more flexible;devenir plus souple;;0;0;0;0
give or take;à peu près;;0;0;0;0
green industry;secteur vert;;0;0;0;0
grow up;Grandir;;0;0;0;0
hardworking;travailleur;;0;0;0;0
he's in really good shape.;il est en très grande forme physique.;;0;0;0;0
holder;titulaire;;0;0;0;0
home;maison;"dans le sens ""foyer""";2;0;4;0
honorable;honorable;;0;0;0;0
however;cependant;;2;1;0;0
important;important;;0;0;0;0
in order to;afin de;;4;3;0;0
it'll be good for you to get out.;ça vous fera du bien de sortir un peu;;0;0;0;0
kind of;un peu de;;0;0;0;0
lazy;paresseux;;0;0;0;0
let me make sure I've understood correctly.;voyons si j'ai bien compris;;0;0;0;0
lucrative;lucratif;;0;0;0;0
lyric;parole;;0;0;0;0
meaningful;sérieux;;1;1;0;0
melody;mélodie;;0;0;0;0
mood;humeur;;0;0;0;0
more and less;plus ou moins;;0;0;0;0
mother;mère;;29;7;7;2
mouse;souris;;2;0;5;1
nephew;neuveu;;0;0;0;0
noble;noble;;0;0;0;0
obviously;évidemment;;1;0;0;0
odd;étrange;;0;0;0;0
offensive;offansant;;0;0;0;0
or so;environ;;1;0;0;0
outcome;résultat;;0;0;0;0
overwork;surmenage;;0;0;0;0
partake;prendre part;;0;0;0;0
profession;profession;;0;0;0;0
purchase;achat;;1;1;0;0
result in;provoque;;0;0;0;0
rough;rugueux;adjectif;0;0;0;0
rough;Vivre à la dure;verbe;0;0;0;0
rough;dur;adverbe;0;0;0;0
rude;Brutal, rudimentaire,grossier;;0;0;0;0
rythm;rythme;;0;0;0;0
sad;triste;;0;0;0;0
set up;installer;instaurer;0;0;0;0
silly;idiot;;0;0;0;0
skill;compétence;;0;0;0;0
snail;escargot;;1;0;4;0
support myself;subvenir à mes besoins;;0;0;0;0
taken;pris;<participe passé>;8;2;4;0
talented;talentueux;;0;0;0;0
talk over;discuter;;0;0;0;0
tend to;ont plutôt tendance;;0;0;0;0
the way it's going;à ce rythme-là;;0;0;0;0
to exhaust;épuiser;;0;0;0;0
to find out;découvrir;;0;0;0;0
to lead to;entraine;;0;0;0;0
to suffer;soufrir;;0;0;0;0
to sustain;soutenir;;0;0;0;0
to tie;attacher;;0;0;0;0
tune;air;;0;0;0;0
turn out;s'avérer;;0;0;0;0
turtle;tortue;;4;0;3;0
unimportant;insignifiant;négligeable, pas important;0;0;0;0
untalented;nulle, pas talentueux;;0;0;0;0
well-paid;bien rémunéré;;0;0;0;0
wise;sage;;0;0;0;0
worry;s'inquiéter;;0;0;0;0
you mean ...;vous voulez dire ...;(2ème personne du pluriel);0;0;0;0
you should get more exercise.;tu devrais faire plus d'exercice physique.;(à la 2ème personne du singulier);0;0;0;0
spa;spa;;0;0;0;0
fax machine;télécopieur;;0;0;0;0
jaccuzi;jaccuzi;;0;0;0;0
massage;massage;;0;0;0;0
DVD player;lecteur DVD;;0;0;0;0
deluxe suite;suite deluxe;;0;0;0;0
five-star resort;complexe cinq étoiles;;0;0;0;0
mini-bar;minibar;;0;0;0;0
panoramic view;vue panoramique;;0;0;0;0
conference room;salle de conférence;;0;0;0;0
golf course;terrain de golf;;0;0;0;0
business center;centre d'affaires;;0;0;0;0
gym;club de gym;;0;0;0;0
amenities;equipements;;0;0;0;0
right next to;juste à coté de;;0;0;0;0
great;super;;0;0;0;0
wonderful;parfait;;0;0;0;0
all right;d'accord;(en deux mots);0;0;0;0
right;d'accord;(en 1 mot);0;0;0;0
